#,Make,Model,"Date -
Start","Date -
End",Kilometer,"Battery
Level"
72,Opel,Corsa-E,2020,-,+,+
73,Opel,Mokka-E,2020,-,+,+
74,Opel,Vivaro-E,2020,-,+,+
75,Opel,Zafira-E,2020,-,+,+
76,Ora,Cat,2020,-,+,+
77,Ora,Funky Cat,2020,-,+,+
78,Ora,Good Cat,2020,-,+,+
79,Ora,Haomao,2020,-,+,+
80,Peugeot,E-2008,2019,-,+,+
81,Peugeot,E-208,2019,-,+,+
82,Peugeot,E-Expert,2019,-,+,+
83,Peugeot,E-Partner,2021,-,+,+
84,Peugeot,E-Rifter,2021,-,+,+
85,Peugeot,E-Traveller,2019,-,+,+
86,Peugeot,Ion,2010,-,+,+
87,Polestar,2,2020,-,+,+
88,Polestar,PS2,2020,-,+,+
89,Porsche,Taycan,2019,-,+,+
90,Renault,Kangoo Electric,2011,2022,+,+
91,Renault,Kangoo E-Tech,2019,-,+,+
92,Renault,Kangoo Z.E.,2011,2022,+,+
93,Renault,Master,2018,-,+,+
94,Renault,Megane E-Tech Electric,2022,-,+,+
95,Renault,Twizy,2012,-,+,+
96,Renault,Zoe,2019,-,+,+
97,Seat,Mii (Electric),2012,-,+,+
98,Seres,DFSK,2019,-,+,+
99,Seres,Dongfeng,2019,-,+,+
100,Seres,Model 3 (E3),2019,-,+,+
101,Seres,Seres 3,2019,-,+,+
102,Škoda,Citigo-E,2012,-,+,+
103,Škoda,Enyaq Iv,2020,-,+,+
104,Smart,Eq Forfour,2014,-,+,+
105,Smart,Eq Fortwo,2014,-,+,+
106,Smart,Fortwo Ed (Electric),2009,2014,+,
107,Tesla,Model 3,2017,-,+,+
108,Tesla,Model S,2012,-,+,+
109,Tesla,Model X,2016,-,+,+
110,Tesla,Model Y,2020,-,+,+
111,Toyota,Corolla Cross,2020,-,+,+
112,Toyota,Proace City (Electric),2021,-,+,+
113,Toyota,Proace Electric,2020,-,+,+
114,Toyota,Yaris,2020,-,+,
115,Toyota,Yaris,2020,-,+,
116,Vauxhall,Combo-E,2021,-,+,+
117,Vauxhall,Corsa-E,2020,-,+,+
118,Vauxhall,Mokka-E,2020,-,+,+
119,Vauxhall,Vivaro-E,2020,-,+,+
120,Vauxhall,Zafira-E,2020,-,+,+
121,"Volkswagen
Volkswagen","E-Crafter
E-Golf","2017
2012","-
2020","+
+","+
+"
122,,,,,,
123,Volkswagen,E-Up!,2012,-,+,+
124,Volkswagen,Id.3,2019,-,+,+
125,Volkswagen,Id.4,2020,-,+,+
126,Volkswagen,Id.5,2020,-,+,+
127,Volvo,C40,2019,-,+,+
128,Volvo,XC40,2019,-,+,+
